constrained_or_not,tpm,scaling fbn,fbn,cluster,az,t2_site,parent site,site,constratined site date,parent site rspc needed,impact date,six week nho,pfho,nea,corp,fea,change freeze,umn,provide floor plan,network rack split,provide cutsheets,finalize webbom,initiation,ss
Not Constrained,cifizzar,NW19DB2030,IAD141ROMP01,IAD,IAD12,IAD141,IAD144,IAD144,05/10/20,03/28/20,07/21/20,06/11/20,07/08/20,04/27/20,05/18/20,04/13/20,,03/30/20,02/10/20,01/27/20,01/06/20,12/23/19,11/29/19,07/18/20
Not Constrained,cifizzar,NW19DB2030,IAD141ROMP01,IAD,IAD12,IAD141,IAD090,IAD90,06/21/20,03/28/20,07/21/20,06/11/20,07/08/20,04/27/20,05/18/20,04/13/20,,03/30/20,02/10/20,01/27/20,01/06/20,12/23/19,11/29/19,07/18/20
Not Constrained,stkeck,NW19DB2024,CMH057ROMP01,CMH,CMH51,CMH057,CMH051,CMH51,05/10/20,04/29/20,08/12/20,07/13/20,07/13/20,05/29/20,06/19/20,05/15/20,03/30/20,05/01/20,03/13/20,02/28/20,02/07/20,01/24/20,12/31/19,07/18/20
Not Constrained,stkeck,NW19DB3003,CMH058ROMP01,CMH,CMH52,CMH058,CMH052,CMH52,05/10/20,04/29/20,08/11/20,07/13/20,07/13/20,05/29/20,06/19/20,05/15/20,03/30/20,05/01/20,03/13/20,02/28/20,02/07/20,01/24/20,12/31/19,07/18/20
Not Constrained,sannair,NW20DB2002,SYD071COLP01,SYD,SYD7,SYD071,SYD070,SYD70,05/09/21,05/02/20,08/21/20,07/16/20,07/31/20,06/01/20,06/22/20,05/18/20,04/10/20,05/04/20,03/16/20,03/02/20,02/10/20,01/27/20,01/03/20,07/18/20
Not Constrained,stkeck,NW18DB4022,CMH056ROMP01,CMH,CMH50,CMH056,CMH050,CMH50,05/10/20,05/04/20,09/17/20,07/18/20,07/14/20,06/03/20,06/24/20,05/20/20,03/31/20,05/06/20,03/18/20,03/04/20,02/12/20,01/29/20,01/05/20,07/18/20
Not Constrained,cifizzar,NW18DB4043,IAD146ROMP01,IAD,IAD12,IAD146,IAD144,IAD144,05/10/20,05/09/20,08/15/20,07/23/20,07/20/20,06/08/20,06/29/20,05/25/20,04/06/20,05/11/20,03/23/20,03/09/20,02/17/20,02/03/20,01/10/20,07/18/20
Not Constrained,cifizzar,NW18DB4043,IAD146ROMP01,IAD,IAD12,IAD146,IAD088,IAD88,05/10/20,05/09/20,08/15/20,07/23/20,07/20/20,06/08/20,06/29/20,05/25/20,04/06/20,05/11/20,03/23/20,03/09/20,02/17/20,02/03/20,01/10/20,07/18/20
Not Constrained,cifizzar,NW18DB4043,IAD146ROMP01,IAD,IAD12,IAD146,IAD090,IAD90,06/21/20,05/09/20,08/15/20,07/23/20,07/20/20,06/08/20,06/29/20,05/25/20,04/06/20,05/11/20,03/23/20,03/09/20,02/17/20,02/03/20,01/10/20,07/18/20
Constrained,cifizzar,NW19DB3002,IAD118ROMP01,IAD,IAD6,IAD118,IAD114,IAD114,05/10/20,05/16/20,08/18/20,07/30/20,08/03/20,06/15/20,07/06/20,06/01/20,04/20/20,05/18/20,03/30/20,03/16/20,02/24/20,02/10/20,01/17/20,07/18/20
