constrained_or_not,tpm,scaling fbn,fbn,cluster,az,t2_site,parent site,site,constratined site date,parent site rspc needed,impact date,six week nho,pfho,nea,corp,fea,change freeze,umn,provide floor plan,network rack split,provide cutsheets,finalize webbom,initiation,ss
Not Constrained,danmicha,NW20DB2036,DUB069ROMP01,DUB,DUB2,DUB069,DUB056,DUB56,06/07/20,05/22/21,08/16/21,08/05/21,07/05/21,06/21/21,07/12/21,06/07/21,03/15/21,05/24/21,04/05/21,03/22/21,03/01/21,02/15/21,01/22/21,07/18/20
Constrained,danmicha,NW20DB2036,DUB069ROMP01,DUB,DUB2,DUB069,DUB009,DUB9,02/20/22,05/22/21,08/16/21,08/05/21,07/05/21,06/21/21,07/12/21,06/07/21,03/15/21,05/24/21,04/05/21,03/22/21,03/01/21,02/15/21,01/22/21,07/18/20
Constrained,danmicha,NW20DB2066,NRT066COLP01,NRT,NRT55,NRT066,NRT055,NRT55,05/10/20,06/01/21,08/29/21,08/15/21,08/01/21,07/01/21,07/22/21,06/17/21,04/11/21,06/03/21,04/15/21,04/01/21,03/11/21,02/25/21,02/01/21,07/18/20
Constrained,danmicha,NW20DB2070,BJS051COLP01,BJS,BJS11,BJS051,BJS011,BJS11,05/09/21,06/02/21,09/10/21,08/16/21,08/13/21,07/02/21,07/23/21,06/18/21,04/23/21,06/04/21,04/16/21,04/02/21,03/12/21,02/26/21,02/02/21,07/18/20
Constrained,danmicha,NW20DB3001,PDX109ROMP01,PDX,PDX1,PDX109,PDX056,PDX56,05/10/20,06/05/21,09/06/21,08/19/21,08/09/21,07/05/21,07/26/21,06/21/21,04/26/21,06/07/21,04/19/21,04/05/21,03/15/21,03/01/21,02/05/21,07/18/20
Constrained,danmicha,NW20DB2037,DUB094ROMP01,DUB,DUB4,DUB094,DUB054,DUB54,05/10/20,07/03/21,09/28/21,09/16/21,08/31/21,08/02/21,08/23/21,07/19/21,05/18/21,07/05/21,05/17/21,05/03/21,04/12/21,03/29/21,03/05/21,07/18/20
Constrained,danmicha,NW20DB2025,IAD161ROMP01,IAD,IAD6,IAD161,IAD115,IAD115,06/27/21,07/03/21,10/25/21,09/16/21,09/27/21,08/02/21,08/23/21,07/19/21,06/07/21,07/05/21,05/17/21,05/03/21,04/12/21,03/29/21,03/05/21,07/18/20
Constrained,danmicha,NW20DB2025,IAD161ROMP01,IAD,IAD6,IAD161,IAD078,IAD78,05/10/20,07/03/21,10/25/21,09/16/21,09/27/21,08/02/21,08/23/21,07/19/21,06/07/21,07/05/21,05/17/21,05/03/21,04/12/21,03/29/21,03/05/21,07/18/20
Constrained,cifizzar,NW20DB2007,IAD102ROMP01,IAD,IAD7,IAD102,IAD132,IAD132,01/03/21,07/10/21,12/27/21,09/23/21,11/29/21,08/09/21,08/30/21,07/26/21,08/16/21,07/12/21,05/24/21,05/10/21,04/19/21,04/05/21,03/12/21,07/18/20
Not Constrained,cifizzar,NW20DB2007,IAD102ROMP01,IAD,IAD7,IAD102,IAD085,IAD85,10/31/21,07/10/21,12/27/21,09/23/21,11/29/21,08/09/21,08/30/21,07/26/21,08/16/21,07/12/21,05/24/21,05/10/21,04/19/21,04/05/21,03/12/21,07/18/20
Not Constrained,danmicha,NW20DB2048,GRU065ROMP01,GRU,GRU4,GRU065,GRU004,GRU4,08/01/21,07/21/21,10/15/21,10/04/21,09/16/21,08/20/21,09/10/21,08/06/21,06/03/21,07/23/21,06/04/21,05/21/21,04/30/21,04/16/21,03/23/21,07/18/20
Constrained,cifizzar,NW20DB2004,IAD155ROMP01,IAD,IAD1,IAD155,IAD150,IAD150,05/30/21,09/18/21,12/20/21,12/02/21,11/22/21,10/18/21,11/08/21,10/04/21,08/09/21,09/20/21,08/02/21,07/19/21,06/28/21,06/14/21,05/21/21,07/18/20
Constrained,cifizzar,NW20DB2004,IAD155ROMP01,IAD,IAD1,IAD155,IAD061,IAD61,05/10/20,09/18/21,12/20/21,12/02/21,11/22/21,10/18/21,11/08/21,10/04/21,08/09/21,09/20/21,08/02/21,07/19/21,06/28/21,06/14/21,05/21/21,07/18/20
Constrained,cifizzar,NW20DB2004,IAD155ROMP01,IAD,IAD1,IAD155,IAD063,IAD63,03/07/21,09/18/21,12/20/21,12/02/21,11/22/21,10/18/21,11/08/21,10/04/21,08/09/21,09/20/21,08/02/21,07/19/21,06/28/21,06/14/21,05/21/21,07/18/20
Constrained,cifizzar,NW20DB2004,IAD155ROMP01,IAD,IAD1,IAD155,IAD065,IAD65,05/10/20,09/18/21,12/20/21,12/02/21,11/22/21,10/18/21,11/08/21,10/04/21,08/09/21,09/20/21,08/02/21,07/19/21,06/28/21,06/14/21,05/21/21,07/18/20
Constrained,danmicha,NW20DB2083,GRU063ROMP01,GRU,GRU2,GRU063,GRU002,GRU2,06/27/21,09/29/21,12/24/21,12/13/21,11/26/21,10/29/21,11/19/21,10/15/21,08/13/21,10/01/21,08/13/21,07/30/21,07/09/21,06/25/21,06/01/21,07/18/20
Constrained,danmicha,NW20DB2069,SIN061ROMP01,SIN,SIN3,SIN061,SIN003,SIN3,02/07/21,09/29/21,12/31/21,12/13/21,12/03/21,10/29/21,11/19/21,10/15/21,08/13/21,10/01/21,08/13/21,07/30/21,07/09/21,06/25/21,06/01/21,07/18/20
Constrained,danmicha,NW20DB2071,NRT072ROMP01,NRT,NRT12,NRT072,NRT012,NRT12,09/06/20,10/13/21,02/04/22,12/27/21,12/10/21,11/12/21,12/03/21,10/29/21,08/20/21,10/15/21,08/27/21,08/13/21,07/23/21,07/09/21,06/15/21,07/18/20
Constrained,danmicha,NW20DB2072,SYD055ROMP01,SYD,SYD5,SYD055,SYD051,SYD51,07/11/21,10/13/21,01/07/22,12/27/21,12/10/21,11/12/21,12/03/21,10/29/21,08/27/21,10/15/21,08/27/21,08/13/21,07/23/21,07/09/21,06/15/21,07/18/20
Constrained,danmicha,NW20DB2046,SFO061ROMP01,SFO,SFO9,SFO061,SFO009,SFO9,05/31/20,12/04/21,02/28/22,02/17/22,01/28/22,01/03/22,01/24/22,12/20/21,08/20/21,12/06/21,10/18/21,10/04/21,09/13/21,08/30/21,08/06/21,07/18/20
Constrained,danmicha,NW20DB2082,IAD162ROMP01,IAD,IAD6,IAD162,IAD115,IAD115,06/27/21,12/18/21,04/11/22,03/03/22,03/14/22,01/17/22,02/07/22,01/03/22,11/29/21,12/20/21,11/01/21,10/18/21,09/27/21,09/13/21,08/20/21,07/18/20
Constrained,danmicha,NW20DB2082,IAD162ROMP01,IAD,IAD6,IAD162,IAD078,IAD78,05/10/20,12/18/21,04/11/22,03/03/22,03/14/22,01/17/22,02/07/22,01/03/22,11/29/21,12/20/21,11/01/21,10/18/21,09/27/21,09/13/21,08/20/21,07/18/20
Not Constrained,danmicha,NW20DB2084,IAD163ROMP01,IAD,IAD6,IAD163,IAD115,IAD115,06/27/21,01/15/22,05/09/22,03/31/22,04/11/22,02/14/22,03/07/22,01/31/22,12/27/21,01/17/22,11/29/21,11/15/21,10/25/21,10/11/21,09/17/21,07/18/20
Not Constrained,danmicha,NW20DB2084,IAD163ROMP01,IAD,IAD6,IAD163,IAD116,IAD116,05/10/20,01/15/22,05/09/22,03/31/22,04/11/22,02/14/22,03/07/22,01/31/22,12/27/21,01/17/22,11/29/21,11/15/21,10/25/21,10/11/21,09/17/21,07/18/20
Not Constrained,danmicha,NW20DB2050,LHR065COLP01,LHR,LHR55,LHR065,LHR055,LHR55,05/17/20,01/15/22,04/11/22,03/31/22,03/11/22,02/14/22,03/07/22,01/31/22,11/19/21,01/17/22,11/29/21,11/15/21,10/25/21,10/11/21,09/17/21,07/18/20
Not Constrained,danmicha,NW20DB3008,PDX093ROMP01,PDX,PDX4,PDX093,PDX004,PDX4,05/17/20,02/26/22,05/30/22,05/12/22,05/02/22,03/28/22,04/18/22,03/14/22,01/17/22,02/28/22,01/10/22,12/27/21,12/06/21,11/22/21,10/29/21,07/18/20
Not Constrained,danmicha,NW20DB3008,PDX093ROMP01,PDX,PDX4,PDX093,PDX055,PDX55,05/10/20,02/26/22,05/30/22,05/12/22,05/02/22,03/28/22,04/18/22,03/14/22,01/17/22,02/28/22,01/10/22,12/27/21,12/06/21,11/22/21,10/29/21,07/18/20
Not Constrained,danmicha,NW20DB2081,IAD094ROMP01,IAD,IAD55,IAD094,IAD084,IAD84,05/17/20,03/19/22,06/27/22,06/02/22,05/30/22,04/18/22,05/09/22,04/04/22,02/14/22,03/21/22,01/31/22,01/17/22,12/27/21,12/13/21,11/19/21,07/18/20
Not Constrained,cifizzar,NW20DB2033,IAD156ROMP01,IAD,IAD1,IAD156,IAD150,IAD150,05/30/21,03/30/22,06/27/22,06/13/22,05/30/22,04/29/22,05/20/22,04/15/22,02/14/22,04/01/22,02/11/22,01/28/22,01/07/22,12/24/21,11/30/21,07/18/20
Not Constrained,cifizzar,NW20DB2033,IAD156ROMP01,IAD,IAD1,IAD156,IAD061,IAD61,05/10/20,03/30/22,06/27/22,06/13/22,05/30/22,04/29/22,05/20/22,04/15/22,02/14/22,04/01/22,02/11/22,01/28/22,01/07/22,12/24/21,11/30/21,07/18/20
Constrained,cifizzar,NW20DB2033,IAD156ROMP01,IAD,IAD1,IAD156,IAD063,IAD63,03/07/21,03/30/22,06/27/22,06/13/22,05/30/22,04/29/22,05/20/22,04/15/22,02/14/22,04/01/22,02/11/22,01/28/22,01/07/22,12/24/21,11/30/21,07/18/20
Not Constrained,cifizzar,NW20DB2033,IAD156ROMP01,IAD,IAD1,IAD156,IAD065,IAD65,05/10/20,03/30/22,06/27/22,06/13/22,05/30/22,04/29/22,05/20/22,04/15/22,02/14/22,04/01/22,02/11/22,01/28/22,01/07/22,12/24/21,11/30/21,07/18/20
Not Constrained,danmicha,NW20DB2039,DUB068ROMP01,DUB,DUB8,DUB068,DUB052,DUB52,11/08/20,05/11/22,08/05/22,07/25/22,07/08/22,06/10/22,07/01/22,05/27/22,03/25/22,05/13/22,03/25/22,03/11/22,02/18/22,02/04/22,01/11/22,07/18/20
Not Constrained,danmicha,NW20DB2039,DUB068ROMP01,DUB,DUB8,DUB068,DUB008,DUB8,12/06/20,05/11/22,08/05/22,07/25/22,07/08/22,06/10/22,07/01/22,05/27/22,03/25/22,05/13/22,03/25/22,03/11/22,02/18/22,02/04/22,01/11/22,07/18/20
Constrained,danmicha,NW20DB2078,GRU067ROMP01,GRU,GRU1,GRU067,GRU001,GRU1,03/14/21,05/02/23,07/31/23,07/16/23,07/03/23,06/01/23,06/22/23,05/18/23,03/20/23,05/04/23,03/16/23,03/02/23,02/09/23,01/26/23,01/02/23,07/18/20
Not Constrained,cifizzar,NW20DB2003,IAD121ROMP01,IAD,IAD62,IAD121,IAD062,IAD62,05/10/20,03/16/24,06/24/24,05/30/24,05/27/24,04/15/24,05/06/24,04/01/24,02/12/24,03/18/24,01/29/24,01/15/24,12/25/23,12/11/23,11/17/23,07/18/20
Not Constrained,cifizzar,NW20DB2003,IAD121ROMP01,IAD,IAD62,IAD121,IAD068,IAD68,05/10/20,03/16/24,06/24/24,05/30/24,05/27/24,04/15/24,05/06/24,04/01/24,02/12/24,03/18/24,01/29/24,01/15/24,12/25/23,12/11/23,11/17/23,07/18/20
Not Constrained,danmicha,NW20DB2041,DUB088ROMP01,DUB,DUB8,DUB088,DUB052,DUB52,11/08/20,,10/11/22,,,,,,06/28/22,,,,,,,07/18/20
Not Constrained,danmicha,NW20DB3010,DUB099COLP01,DUB,DUB2,DUB099,DUB056,DUB56,06/07/20,,03/22/21,,,,,,11/30/20,,,,,,,07/18/20
Not Constrained,danmicha,NW20DB2041,DUB088ROMP01,DUB,DUB8,DUB088,DUB008,DUB8,12/06/20,,10/11/22,,,,,,06/28/22,,,,,,,07/18/20
Not Constrained,danmicha,NW20DB3010,DUB099COLP01,DUB,DUB2,DUB099,DUB009,DUB9,02/20/22,,03/22/21,,,,,,11/30/20,,,,,,,07/18/20
Not Constrained,danmicha,NW20DB2022,FRA090COLP01,FRA,FRA53,FRA090,FRA056,FRA56,02/13/22,,06/29/22,,,,,,03/09/22,,,,,,,07/18/20
Not Constrained,danmicha,NW20DB3009,GRU051COLP01,GRU,GRU1,GRU051,GRU001,GRU1,03/14/21,,05/25/21,,,,,,02/02/21,,,,,,,07/18/20
Not Constrained,cifizzar,NW20DB2034,IAD103ROMP01,IAD,IAD7,IAD103,IAD132,IAD132,01/03/21,,05/24/22,,,,,,02/08/22,,,,,,,07/18/20
Not Constrained,cifizzar,NW20DB2035,IAD157ROMP01,IAD,IAD1,IAD157,IAD150,IAD150,05/30/21,,03/01/25,,,,,,11/16/24,,,,,,,07/18/20
Not Constrained,cifizzar,NW20DB2035,IAD157ROMP01,IAD,IAD1,IAD157,IAD061,IAD61,05/10/20,,03/01/25,,,,,,11/16/24,,,,,,,07/18/20
Not Constrained,cifizzar,NW20DB2034,IAD103ROMP01,IAD,IAD7,IAD103,IAD085,IAD85,10/31/21,,05/24/22,,,,,,02/08/22,,,,,,,07/18/20
Not Constrained,danmicha,NW20DB2049,MXP073COLP01,MXP,MXP60,MXP073,MXP060,MXP60,03/07/21,,06/01/21,,,,,,02/09/21,,,,,,,07/18/20
Not Constrained,danmicha,NW20DB2051,NRT079COLP01,NRT,NRT8,NRT079,NRT008,NRT8,01/24/21,,01/03/22,,,,,,09/13/21,,,,,,,07/18/20
Not Constrained,danmicha,NW20DB3014,SIN064COLP01,SIN,SIN3,SIN064,SIN003,SIN3,02/07/21,,12/01/24,,,,,,08/11/24,,,,,,,07/18/20
